dataset,model,training_samples,train_pr_auc_mean,train_pr_auc_std,validation_pr_auc_mean,validation_pr_auc_std,train_val_gap
Bank Marketing,XGBoost,3616,0.8971037990352387,0.010104203190954458,0.386612999030902,0.014364641430839677,0.5104908000043367
Bank Marketing,XGBoost,9042,0.7310323916073924,0.009694859961902893,0.4234301275152202,0.021118702194292155,0.30760226409217223
Bank Marketing,XGBoost,18084,0.6317039426033364,0.005287718186529116,0.4404592616923441,0.01789199746100404,0.19124468091099228
Bank Marketing,XGBoost,27126,0.591043925684141,0.004605000524927725,0.44897862344468803,0.01574962706622647,0.14206530223945296
Bank Marketing,XGBoost,36168,0.5697310149163097,0.002100015316730408,0.45591543834715126,0.014290666257454978,0.11381557656915847
Bank Marketing,MLP,3616,0.3338140002300992,0.18480362769559855,0.278481851930559,0.1369182748816844,0.055332148299540196
Bank Marketing,MLP,9042,0.4606769447517826,0.0405793210431149,0.40384075796481256,0.020113846457172714,0.056836186786970055
Bank Marketing,MLP,18084,0.44787715075975426,0.043752670098282806,0.40710602306737254,0.021883790557523538,0.040771127692381726
Bank Marketing,MLP,27126,0.46913184876735387,0.03130374698755214,0.4235560501983223,0.021420120950584088,0.045575798569031545
Bank Marketing,MLP,36168,0.47829723469721247,0.01942186184936563,0.4337194691717136,0.012297457971209184,0.04457776552549886
