dataset,model,training_samples,train_pr_auc_mean,train_pr_auc_std,validation_pr_auc_mean,validation_pr_auc_std,train_val_gap
Credit Card Default,XGBoost,2400,0.9776633942403317,0.004908120408748207,0.5088876724032309,0.003935414360737198,0.4687757218371008
Credit Card Default,XGBoost,6000,0.8587770470342585,0.002769316718554441,0.5302086317391097,0.0015652399648990215,0.3285684152951488
Credit Card Default,XGBoost,12000,0.7530699521019961,0.0058445628617239025,0.5437984090432149,0.006031203368112528,0.20927154305878126
Credit Card Default,XGBoost,18000,0.7079952784070513,0.00512240842934931,0.5513767833520087,0.006795961537560308,0.15661849505504266
Credit Card Default,XGBoost,24000,0.6824565751727205,0.0031310739995018566,0.5568358487046038,0.006967753902287355,0.12562072646811673
Credit Card Default,MLP,2400,0.5053083270041415,0.05828650809100978,0.4802390915617828,0.03766747522579497,0.025069235442358728
Credit Card Default,MLP,6000,0.5715816628790571,0.02758107984751704,0.5204607503964453,0.005118385958884103,0.05112091248261175
Credit Card Default,MLP,12000,0.5519932653460973,0.012848146229481,0.5315907914019778,0.001992619848296615,0.020402473944119426
Credit Card Default,MLP,18000,0.5631362337486131,0.010151998401092367,0.5387937915400869,0.007998370999151511,0.024342442208526216
Credit Card Default,MLP,24000,0.5593788580142937,0.014650634384006067,0.5409784906900298,0.0077548571166548555,0.018400367324263867
